阶段	课题	目标字	例词（依次对应目标字）
3	听虫子唱歌	蜻蜓蝉蚊蝇	蜻蜓/蜻蜓/蝉鸣/蚊子/苍蝇
3	森林里的大动物	虎狮象熊鹿	老虎/狮子/大象/小熊/小鹿
3	树林里的伙伴	猴狐狼鼠松	猴子/狐狸/灰狼/老鼠/松鼠
3	水里的动物	虾蟹龟蛇鳄	小虾/螃蟹/乌龟/水蛇/鳄鱼
3	谁在海里游	鲸海豚鲨贝	鲸鱼/大海/海豚/鲨鱼/贝壳
3	看动物的身体	尾翅羽爪角	尾巴/翅膀/羽毛/爪子/牛角
3	种下一粒种子	种芽根枝苗	种子/发芽/树根/树枝/小苗
3	花园里的颜色	桃梅杏兰荷	桃花/梅花/杏花/兰花/荷花
3	秋天的叶子	竹林森枫杨	竹子/树林/森林/枫叶/杨树
3	找一找水在哪里	江河湖池泉	江水/小河/湖水/池塘/泉水
3	看看天空	星空光亮黑	星星/天空/阳光/明亮/黑夜
3	下雪的日子	雪冰冷冻滑	下雪/冰块/冷风/冻冰/滑冰
3	暖暖的天气	热暖晴阴雷	热天/暖和/晴天/阴天/打雷
3	四季慢慢变	春夏秋冬季	春天/夏天/秋天/冬天/四季
3	观察天气变化	雾露霜虹霞	大雾/露水/白霜/彩虹/晚霞
3	山洞里有回声	沙泥岩洞坡	沙子/泥巴/岩石/山洞/山坡
3	爱护小生命	生长开落护	生命/长大/开花/落叶/保护
4	跟着路标走	路街道桥边	马路/大街/道路/小桥/路边
4	过马路	车交通行停	汽车/交通/通行/行走/停车
4	过人行横道	斑线过步横	斑马线/直线/过马路/脚步/横道
4	认识交通工具	船飞机汽轮	小船/飞机/机器/汽车/车轮
4	火车站里	火铁票乘站	火车/铁路/车票/乘车/车站
4	骑车戴头盔	骑自盔铃刹	骑车/自己/头盔/车铃/刹车
4	出发和到达	出入进到回	出去/入口/进来/到家/回来
4	地图上的方向	东西南北远	东边/西边/南方/北方/远方
4	近处和转弯处	近旁直转弯	近处/旁边/直走/转身/弯路
4	和家人去买菜	店市场买卖	商店/城市/市场/买菜/卖菜
4	超市里选东西	超货钱元付	超市/货物/零钱/一元/付款
4	认识街边商铺	商铺餐馆客	商店/店铺/餐厅/饭馆/客人
4	小区里的邻居	区楼层邻居	小区/楼房/楼层/邻居/居住
4	去医院看病	医院药针救	医生/医院/吃药/打针/救助
4	认识帮助我们的人	警察消防员	警察/观察/消防/防火/队员
4	认识公共服务	邮局银信寄	邮局/邮局/银行/信件/寄信
4	旅行的行李	旅游箱袋伞	旅行/游玩/箱子/口袋/雨伞
4	守护我们的城市	城镇乡村国	城市/小镇/家乡/村子/中国
4	看懂安全标志	标志禁止示	标志/志愿者/禁止/停止/提示
4	安全到家	全保守规则	安全/保护/遵守/规则/法则
5	认识我的亲人	爷奶哥姐弟	爷爷/奶奶/哥哥/姐姐/弟弟
5	一家人团聚	妹叔姨伯亲	妹妹/叔叔/阿姨/伯伯/亲人
5	一起长大的家人	子孩儿名字	孩子/孩子/儿童/名字/汉字
5	我家的房间	房厅厨卧墙	房间/客厅/厨房/卧室/墙壁
5	家里的电器	电视音扇响	电灯/电视/声音/风扇/音响
5	谁在厨房忙	锅刀叉瓶罐	锅子/小刀/叉子/瓶子/罐子
5	做一顿好吃的	煮炒蒸烤切	煮饭/炒菜/蒸蛋/烤饼/切菜
5	食物的味道	甜酸苦辣咸	香甜/酸味/苦瓜/辣椒/咸味
5	水果篮子	苹梨瓜枣莓	苹果/梨子/西瓜/红枣/草莓
5	再尝一种水果	香蕉葡萄橙	香蕉/香蕉/葡萄/葡萄/橙子
5	果园和菜园	萝卜豆蔬橘	萝卜/萝卜/豆子/蔬菜/橘子
5	厨房里的蔬菜	茄椒葱蒜薯	茄子/辣椒/葱花/大蒜/红薯
5	早餐真丰富	蛋肉乳茶汤	鸡蛋/肉包/牛乳/茶水/菜汤
5	面点和零食	饼糕糖饺粉	饼干/蛋糕/糖果/饺子/米粉
5	食物从哪里来	农田谷麦粮	农民/田地/谷子/小麦/粮食
5	珍惜每一口	饱饿渴剩浪	吃饱/饥饿/口渴/剩饭/浪费
5	周末做家务	扫擦拖整理	扫地/擦桌/拖地/整齐/整理
5	衣服放哪里	柜架挂叠晒	柜子/书架/挂衣/叠衣/晒衣
5	让屋子更舒服	软硬厚薄轻	柔软/坚硬/厚衣/薄被/轻轻
5	小小修理员	修补破坏旧	修理/补好/破了/坏了/旧物
6	时间的名字	年今明昨时	今年/今天/明天/昨天/时间
6	看看日历	期周岁号历	星期/周末/五岁/号码/日历
6	钟表滴答响	钟表点分秒	时钟/手表/几点/分钟/秒针
6	一天的安排	晨夜半刻久	早晨/夜晚/一半/一刻/很久
6	数更多的东西	百千万零两	一百/一千/一万/零个/两个
6	数一数分一分	数加减多少	数数/加上/减少/多少/少了
6	买东西会比较	几每各共双	几个/每天/各自/一共/一双
6	一份还是一堆	只张条片块	一只/一张/一条/一片/一块
6	大小和高矮	高矮胖瘦宽	高树/矮树/胖熊/瘦猴/宽路
6	长短和深浅	短深浅重低	短绳/深水/浅水/重量/低头
6	认识形状	圆方正尖平	圆形/方形/正方形/尖角/平面
6	拼图和积木	形状拼图积	形状/形状/拼图/图画/积木
6	找出不一样	相异别样像	相同/差异/别的/一样/好像
6	按顺序摆一摆	第序首末顺	第一/次序/首先/末尾/顺序
6	量一量比一比	比量尺寸称	比较/测量/尺子/尺寸/称重
6	盒子里外找位置	满内外里够	装满/盒内/外面/里面/足够
6	做个小实验	试验观测变	试一试/实验/观察/测量/变化
6	发现磁铁的秘密	磁吸引推拉	磁铁/吸住/吸引/推开/拉手
6	水会变成什么	温度升降化	温度/刻度/上升/下降/变化
6	珍惜水和电	节省费源用	节约/节省/浪费/水源/使用
7	很久以前的故事	故古事从仙	故事/古时候/故事/从前/仙女
7	森林里的小屋	屋座住围顶	小屋/一座/住下/围墙/屋顶
7	快乐的生日	快乐笑喜欢	快乐/快乐/微笑/喜欢/欢迎
7	不开心的时候	哭泪伤难疼	哭泣/眼泪/伤心/难过/心疼
7	勇敢地试一试	怕勇敢胆尝	害怕/勇敢/敢做/大胆/尝试
7	着急时慢慢说	着慌惊紧焦	着急/慌张/吃惊/紧张/焦急
7	小兔迷路了	迷失寻追逃	迷路/丢失/寻找/追赶/逃走
7	把理由讲清楚	因为所以且	因为/因为/所以/所以/而且
7	想个好办法	想思办法主	想法/思考/办法/方法/主意
7	大家来帮忙	合作团结协	合作/工作/团结/结果/协作
7	谢谢你的礼物	礼物送接受	礼物/物品/送给/接住/接受
7	说清真实的事情	诚实真假善	诚实/实话/真的/真假/善意
7	不小心做错了	错改认歉原	做错/改正/承认/道歉/原谅
7	遇到困难不放弃	困坚持努强	困难/坚持/保持/努力/强壮
7	每个人都有本领	能会才聪领	能够/学会/才能/聪明/本领
7	故事突然有变化	然忽突发曾	然后/忽然/突然/发生/曾经
7	故事里的声音	声喊鸣唱奏	声音/喊话/鸟鸣/唱歌/演奏
7	故事里的动作	爬钻躲藏滚	爬树/钻洞/躲雨/藏好/滚动
7	故事里的样子	美丑新奇怪	美丽/丑小鸭/新衣/好奇/奇怪
7	好好说再见	见离拥迎舍	见面/离开/拥抱/欢迎/舍不得
8	说说我的愿望	要愿望梦盼	想要/愿意/愿望/梦想/盼望
8	把话说完整	还就都很最	还有/就是/都是/很好/最好
8	把一件事讲清楚	把得地已并	把水倒好/做得好/轻轻地/已经/并且
8	先问一句	吗呢吧呀啊	好吗/谁呢/来吧/好呀/啊哈
8	转个弯把话说完	但而却虽又	但是/而且/却没有/虽然/又来
8	如果这样会怎样	或如若即使	或者/如果/假若/立即/即使
8	我来做选择	选决定择意	选择/决定/一定/选择/同意
8	分清感觉和判断	觉感判断应	觉得/感觉/判断/判断/应该
8	专心听完再回应	耐专注仔细	耐心/专心/注意/仔细/细心
8	每个人都有特点	特征性格趣	特点/特征/性格/性格/兴趣
8	认识我的情绪	情绪兴奋静	心情/情绪/高兴/兴奋/安静
8	和朋友有分歧	争吵解劝谅	争论/争吵/解决/劝说/原谅
8	说清楚需要什么	需助求联络	需要/帮助/请求/联系/联络
8	我的身体有边界	肩体碰摸抱	肩膀/身体/碰到/摸摸/拥抱
8	保护个人信息	秘密私隐锁	秘密/密码/私人/隐私/门锁
8	不同意也能做朋友	拒绝尊容允	拒绝/绝不/尊重/包容/允许
8	一起约定规则	约遵律诺责	约定/遵守/纪律/承诺/责任
8	公共地方轻声说话	公众勿喧哗	公共/众人/请勿/喧哗/喧哗
8	做事有始有终	始终完成功	开始/始终/完成/成功/成功
8	给自己一点时间	慢反复练习	慢慢/反复/重复/练习/学习
9	认识一本书	页封订录册	书页/封面/装订/目录/画册
9	书上的小标记	题签版印者	题目/书签/版本/印刷/作者
9	跟着文字读	文句段章篇	文字/句子/段落/章节/一篇
9	读懂标点	逗顿冒叹括	逗号/停顿/冒号/感叹/括号
9	接着讲故事	续继经随往	续写/继续/经过/跟随/往前
9	故事发生在哪里	色景处背境	角色/场景/到处/背后/环境
9	追着故事往前走	做遇赶奔沿	做事/遇见/赶来/奔跑/沿着
9	从图里找线索	索踪迹探查	线索/踪迹/足迹/探索/查看
9	把误会说清楚	误骗弄清楚	误会/骗人/弄明白/清楚/清楚
9	猜猜后面会怎样	猜可将未预	猜想/可以/将来/未来/预想
9	说说你怎么知道	怎知晓识据	怎么/知道/知晓/认识/依据
9	读通知听消息	闻讯息报传	新闻/通讯/消息/报告/传话
9	计划一次活动	活动计划程	活动/动作/计划/计划/过程
9	看懂做事的说明	范操骤按照	示范/操作/步骤/按照/照着做
9	读懂一张清单	单项类列份	清单/项目/分类/列表/一份
9	汉字可以拆一拆	偏部构组符	偏旁/部首/结构/组合/符号
9	给词语找朋友	词语配连搭	词语/语言/搭配/连接/搭配
9	换一种说法	替另更代较	代替/另外/更好/代替/比较
9	看见自然的美	丽秀翠鲜艳	美丽/秀美/翠绿/鲜花/鲜艳
9	读完说说感受	述评享夸赞	讲述/评价/分享/夸奖/赞美
10	准备开学啦	级准备须检	年级/准备/备好/必须/检查
10	整理学习用品	具橡皮铅胶	文具/橡皮/橡皮/铅笔/胶水
10	教室里看一看	板墨台屏壁	黑板/墨水/讲台/屏幕/墙壁
10	爱惜借来的书	惜珍损毁借	珍惜/珍惜/损坏/毁坏/借书
10	有问题大胆说	举提言顾虑	举手/提问/发言/回顾/考虑
10	一起值日	值劳汗勤务	值日/劳动/汗水/勤劳/任务
10	我来负责一件事	任负担管独	任务/负责/承担/管理/独立
10	健康的生活	健康锻炼呼	健康/安康/锻炼/锻炼/呼吸
10	运动前后	运休伸腿臂	运动/休息/伸展/小腿/手臂
10	记录我的发现	记现忆证确	记录/发现/回忆/证据/确认
10	礼貌地介绍自己	介绍姓龄李	介绍/介绍/姓名/年龄/姓李
10	庆祝快乐的节日	庆祝福贺幸	庆祝/祝福/幸福/祝贺/幸福
10	看看中国地图	旗京华祖民	国旗/北京/中华/祖国/人民
10	端午看龙舟	统龙舟端粽	传统/小龙/龙舟/端午/粽子
10	珍惜身边的劳动	工匠产建造	工人/工匠/产品/建设/制造
10	生活里的科技	科技术网键	科学/技术/美术/网络/键盘
10	保护共同的家园	环垃圾污染	环境/垃圾/垃圾/污染/污染
10	看看更大的世界	族世界洋洲	民族/世界/世界/海洋/亚洲
10	尝试独立阅读	立阅懂汉典	站立/阅读/读懂/汉字/字典
10	我的成长小书	展获奖留念	展示/收获/奖章/保留/纪念
