汉字,阶段,单元,课题,例词,读音提示
白,1,C014,颜色朋友,白色,
衣,1,C015,穿好衣服,衣服,
裤,1,C015,穿好衣服,裤子,
鞋,1,C015,穿好衣服,鞋子,
袜,1,C015,穿好衣服,袜子,
帽,1,C015,穿好衣服,帽子,
米,1,C016,吃饭啦,大米,
饭,1,C016,吃饭啦,米饭,
面,1,C016,吃饭啦,面条,
菜,1,C016,吃饭啦,青菜,
果,1,C016,吃饭啦,水果,
走,1,C017,坐好再出发,走路,
跑,1,C017,坐好再出发,跑步,
坐,1,C017,坐好再出发,坐下,
去,1,C017,坐好再出发,去公园,
起,1,C017,坐好再出发,起来,
是,1,C018,我们一起做,我是,
了,1,C018,我们一起做,好了,好了：le
不,1,C018,我们一起做,不要,
也,1,C018,我们一起做,也是,
和,1,C018,我们一起做,我和你,
他,1,C019,我的朋友们,他来,
她,1,C019,我的朋友们,她来,
它,1,C019,我的朋友们,它来,
们,1,C019,我的朋友们,我们,
个,1,C019,我的朋友们,一个,
这,1,C020,问一问再动手,这里,
那,1,C020,问一问再动手,那里,
哪,1,C020,问一问再动手,哪里,
谁,1,C020,问一问再动手,谁来,
什,1,C020,问一问再动手,什么,什么：shén
园,2,C021,幼儿园的一天,公园,
老,2,C021,幼儿园的一天,老师,
师,2,C021,幼儿园的一天,教师,
同,2,C021,幼儿园的一天,同学,
学,2,C021,幼儿园的一天,学习,
校,2,C022,走进教室,学校,学校：xiào
班,2,C022,走进教室,班级,
课,2,C022,走进教室,上课,
室,2,C022,走进教室,教室,
桌,2,C022,走进教室,桌子,
椅,2,C023,收好我的用品,椅子,
书,2,C023,收好我的用品,书本,
包,2,C023,收好我的用品,书包,
笔,2,C023,收好我的用品,铅笔,
本,2,C023,收好我的用品,本子,
读,2,C024,读读画画,读书,
写,2,C024,读读画画,写字,
画,2,C024,读读画画,画画,
听,2,C024,读读画画,听话,
说,2,C024,读读画画,说话,
叫,2,C025,开口表达,叫我,
问,2,C025,开口表达,问好,
答,2,C025,开口表达,回答,
讲,2,C025,开口表达,讲故事,
话,2,C025,开口表达,说话,
玩,2,C026,游戏时间,玩耍,
球,2,C026,游戏时间,皮球,
拍,2,C026,游戏时间,拍手,
跳,2,C026,游戏时间,跳一跳,
踢,2,C026,游戏时间,踢球,
友,2,C027,轮流玩玩具,朋友,
朋,2,C027,轮流玩玩具,亲朋,
给,2,C027,轮流玩玩具,给你,
让,2,C027,轮流玩玩具,让一让,
等,2,C027,轮流玩玩具,等等,
请,2,C028,礼貌小客人,请坐,
谢,2,C028,礼貌小客人,谢谢,
对,2,C028,礼貌小客人,对不起,
您,2,C028,礼貌小客人,您好,
么,2,C028,礼貌小客人,什么,什么：me
早,2,C029,早起和休息,早上,
晚,2,C029,早起和休息,晚上,
午,2,C029,早起和休息,中午,
睡,2,C029,早起和休息,睡觉,
醒,2,C029,早起和休息,醒来,
洗,2,C030,洗手前看看少了什么,洗手,
刷,2,C030,洗手前看看少了什么,刷牙,
毛,2,C030,洗手前看看少了什么,毛巾,
巾,2,C030,洗手前看看少了什么,纸巾,
没,2,C030,洗手前看看少了什么,没有,
干,2,C031,干净的衣服,干衣服,干衣服／干净：gān
净,2,C031,干净的衣服,干净,
脏,2,C031,干净的衣服,脏了,脏了：zāng
湿,2,C031,干净的衣服,湿了,
换,2,C031,干净的衣服,换衣服,
澡,2,C032,洗澡和梳头,洗澡,
浴,2,C032,洗澡和梳头,浴室,
梳,2,C032,洗澡和梳头,梳头,
镜,2,C032,洗澡和梳头,镜子,
盆,2,C032,洗澡和梳头,脸盆,
男,2,C033,认识厕所标识,男孩,
女,2,C033,认识厕所标识,女孩,
便,2,C033,认识厕所标识,方便,方便：biàn
厕,2,C033,认识厕所标识,厕所,
纸,2,C033,认识厕所标识,纸巾,
碗,2,C034,午餐准备好,饭碗,
筷,2,C034,午餐准备好,筷子,
勺,2,C034,午餐准备好,勺子,
盘,2,C034,午餐准备好,盘子,
杯,2,C034,午餐准备好,水杯,
床,2,C035,我的小床,小床,
被,2,C035,我的小床,被子,
枕,2,C035,我的小床,枕头,
灯,2,C035,我的小床,台灯,
窗,2,C035,我的小床,窗户,
放,2,C036,我会整理,放好,
收,2,C036,我会整理,收好,
拿,2,C036,我会整理,拿来,
带,2,C036,我会整理,带上,
找,2,C036,我会整理,找到,
前,2,C037,排队不着急,前面,
后,2,C037,排队不着急,后面,
左,2,C037,排队不着急,左边,
右,2,C037,排队不着急,右边,
中,2,C037,排队不着急,中间,
先,2,C038,游戏的顺序,先来,
再,2,C038,游戏的顺序,再见,
次,2,C038,游戏的顺序,一次,
队,2,C038,游戏的顺序,队伍,
排,2,C038,游戏的顺序,排队,
安,2,C039,保护自己,安全,
危,2,C039,保护自己,危险,
险,2,C039,保护自己,冒险,
痛,2,C039,保护自己,疼痛,
病,2,C039,保护自己,生病,
帮,2,C040,爱和帮助说出来,帮忙,
忙,2,C040,爱和帮助说出来,连忙,
告,2,C040,爱和帮助说出来,告诉,
爱,2,C040,爱和帮助说出来,爱心,
急,2,C040,爱和帮助说出来,着急,
牛,3,C041,认识农场动物,小牛,
羊,3,C041,认识农场动物,小羊,
马,3,C041,认识农场动物,小马,
猪,3,C041,认识农场动物,小猪,
鸡,3,C041,认识农场动物,小鸡,
鸭,3,C042,池塘边的朋友,鸭子,
鹅,3,C042,池塘边的朋友,白鹅,
兔,3,C042,池塘边的朋友,兔子,
蛙,3,C042,池塘边的朋友,青蛙,
虫,3,C042,池塘边的朋友,小虫,
蚂,3,C043,花丛里的昆虫,蚂蚁,
蚁,3,C043,花丛里的昆虫,蚂蚁,
蜂,3,C043,花丛里的昆虫,蜜蜂,
蝴,3,C043,花丛里的昆虫,蝴蝶,
蝶,3,C043,花丛里的昆虫,蝴蝶,
蜻,3,C044,听虫子唱歌,蜻蜓,
蜓,3,C044,听虫子唱歌,蜻蜓,
蝉,3,C044,听虫子唱歌,蝉鸣,
蚊,3,C044,听虫子唱歌,蚊子,
蝇,3,C044,听虫子唱歌,苍蝇,
虎,3,C045,森林里的大动物,老虎,
狮,3,C045,森林里的大动物,狮子,
象,3,C045,森林里的大动物,大象,
熊,3,C045,森林里的大动物,小熊,
鹿,3,C045,森林里的大动物,小鹿,
猴,3,C046,树林里的伙伴,猴子,
狐,3,C046,树林里的伙伴,狐狸,
狼,3,C046,树林里的伙伴,灰狼,
鼠,3,C046,树林里的伙伴,老鼠,
松,3,C046,树林里的伙伴,松鼠,
虾,3,C047,水里的动物,小虾,
蟹,3,C047,水里的动物,螃蟹,
龟,3,C047,水里的动物,乌龟,
蛇,3,C047,水里的动物,水蛇,
鳄,3,C047,水里的动物,鳄鱼,
鲸,3,C048,谁在海里游,鲸鱼,
海,3,C048,谁在海里游,大海,
豚,3,C048,谁在海里游,海豚,
鲨,3,C048,谁在海里游,鲨鱼,
贝,3,C048,谁在海里游,贝壳,
尾,3,C049,看动物的身体,尾巴,
翅,3,C049,看动物的身体,翅膀,
羽,3,C049,看动物的身体,羽毛,
爪,3,C049,看动物的身体,爪子,爪子：zhuǎ
角,3,C049,看动物的身体,牛角,牛角：jiǎo；角色：jué
种,3,C050,种下一粒种子,种子,种子：zhǒng；种下：zhòng
芽,3,C050,种下一粒种子,发芽,
根,3,C050,种下一粒种子,树根,
枝,3,C050,种下一粒种子,树枝,
苗,3,C050,种下一粒种子,小苗,
桃,3,C051,花园里的颜色,桃花,
梅,3,C051,花园里的颜色,梅花,
杏,3,C051,花园里的颜色,杏花,
兰,3,C051,花园里的颜色,兰花,
荷,3,C051,花园里的颜色,荷花,
竹,3,C052,秋天的叶子,竹子,
林,3,C052,秋天的叶子,树林,
森,3,C052,秋天的叶子,森林,
枫,3,C052,秋天的叶子,枫叶,
杨,3,C052,秋天的叶子,杨树,
江,3,C053,找一找水在哪里,江水,
河,3,C053,找一找水在哪里,小河,
湖,3,C053,找一找水在哪里,湖水,
池,3,C053,找一找水在哪里,池塘,
泉,3,C053,找一找水在哪里,泉水,
星,3,C054,看看天空,星星,
空,3,C054,看看天空,天空,
光,3,C054,看看天空,阳光,
亮,3,C054,看看天空,明亮,
黑,3,C054,看看天空,黑夜,
雪,3,C055,下雪的日子,下雪,
冰,3,C055,下雪的日子,冰块,
冷,3,C055,下雪的日子,冷风,
冻,3,C055,下雪的日子,冻冰,
滑,3,C055,下雪的日子,滑冰,
热,3,C056,暖暖的天气,热天,
暖,3,C056,暖暖的天气,暖和,
晴,3,C056,暖暖的天气,晴天,
阴,3,C056,暖暖的天气,阴天,
雷,3,C056,暖暖的天气,打雷,
春,3,C057,四季慢慢变,春天,
夏,3,C057,四季慢慢变,夏天,
秋,3,C057,四季慢慢变,秋天,
冬,3,C057,四季慢慢变,冬天,
季,3,C057,四季慢慢变,四季,
雾,3,C058,观察天气变化,大雾,
露,3,C058,观察天气变化,露水,
霜,3,C058,观察天气变化,白霜,
虹,3,C058,观察天气变化,彩虹,
霞,3,C058,观察天气变化,晚霞,
沙,3,C059,山洞里有回声,沙子,
泥,3,C059,山洞里有回声,泥巴,
岩,3,C059,山洞里有回声,岩石,
洞,3,C059,山洞里有回声,山洞,
坡,3,C059,山洞里有回声,山坡,
生,3,C060,爱护小生命,生命,
长,3,C060,爱护小生命,长大,长大：zhǎng；长短：cháng 另随词示范
开,3,C060,爱护小生命,开花,
落,3,C060,爱护小生命,落叶,
护,3,C060,爱护小生命,保护,
路,4,C061,跟着路标走,马路,
街,4,C061,跟着路标走,大街,
道,4,C061,跟着路标走,道路,
桥,4,C061,跟着路标走,小桥,
边,4,C061,跟着路标走,路边,
车,4,C062,过马路,汽车,
交,4,C062,过马路,交通,
通,4,C062,过马路,通行,
行,4,C062,过马路,行走,行走：xíng；银行：háng
停,4,C062,过马路,停车,
斑,4,C063,过人行横道,斑马线,
线,4,C063,过人行横道,直线,
过,4,C063,过人行横道,过马路,
步,4,C063,过人行横道,脚步,
横,4,C063,过人行横道,横道,
船,4,C064,认识交通工具,小船,
飞,4,C064,认识交通工具,飞机,
机,4,C064,认识交通工具,机器,
汽,4,C064,认识交通工具,汽车,
轮,4,C064,认识交通工具,车轮,
火,4,C065,火车站里,火车,
铁,4,C065,火车站里,铁路,
票,4,C065,火车站里,车票,
乘,4,C065,火车站里,乘车,
站,4,C065,火车站里,车站,
骑,4,C066,骑车戴头盔,骑车,
自,4,C066,骑车戴头盔,自己,
盔,4,C066,骑车戴头盔,头盔,
铃,4,C066,骑车戴头盔,车铃,
刹,4,C066,骑车戴头盔,刹车,
出,4,C067,出发和到达,出去,
入,4,C067,出发和到达,入口,
进,4,C067,出发和到达,进来,
到,4,C067,出发和到达,到家,
回,4,C067,出发和到达,回来,
东,4,C068,地图上的方向,东边,
西,4,C068,地图上的方向,西边,
南,4,C068,地图上的方向,南方,
北,4,C068,地图上的方向,北方,
远,4,C068,地图上的方向,远方,
近,4,C069,近处和转弯处,近处,
旁,4,C069,近处和转弯处,旁边,
直,4,C069,近处和转弯处,直走,
转,4,C069,近处和转弯处,转身,转身：zhuǎn；车轮转动：zhuàn
弯,4,C069,近处和转弯处,弯路,
店,4,C070,和家人去买菜,商店,
市,4,C070,和家人去买菜,城市,
场,4,C070,和家人去买菜,市场,
买,4,C070,和家人去买菜,买菜,
卖,4,C070,和家人去买菜,卖菜,
超,4,C071,超市里选东西,超市,
货,4,C071,超市里选东西,货物,
钱,4,C071,超市里选东西,零钱,
元,4,C071,超市里选东西,一元,
付,4,C071,超市里选东西,付款,
商,4,C072,认识街边商铺,商店,
铺,4,C072,认识街边商铺,店铺,店铺：pù
餐,4,C072,认识街边商铺,餐厅,
馆,4,C072,认识街边商铺,饭馆,
客,4,C072,认识街边商铺,客人,
区,4,C073,小区里的邻居,小区,
楼,4,C073,小区里的邻居,楼房,
层,4,C073,小区里的邻居,楼层,
邻,4,C073,小区里的邻居,邻居,
居,4,C073,小区里的邻居,居住,
医,4,C074,去医院看病,医生,
院,4,C074,去医院看病,医院,
药,4,C074,去医院看病,吃药,
针,4,C074,去医院看病,打针,
救,4,C074,去医院看病,救助,
警,4,C075,认识帮助我们的人,警察,
察,4,C075,认识帮助我们的人,观察,
消,4,C075,认识帮助我们的人,消防,
防,4,C075,认识帮助我们的人,防火,
员,4,C075,认识帮助我们的人,队员,
邮,4,C076,认识公共服务,邮局,
局,4,C076,认识公共服务,邮局,
银,4,C076,认识公共服务,银行,
信,4,C076,认识公共服务,信件,
寄,4,C076,认识公共服务,寄信,
旅,4,C077,旅行的行李,旅行,
游,4,C077,旅行的行李,游玩,
箱,4,C077,旅行的行李,箱子,
袋,4,C077,旅行的行李,口袋,
伞,4,C077,旅行的行李,雨伞,
城,4,C078,守护我们的城市,城市,
镇,4,C078,守护我们的城市,小镇,
乡,4,C078,守护我们的城市,家乡,
村,4,C078,守护我们的城市,村子,
国,4,C078,守护我们的城市,中国,
标,4,C079,看懂安全标志,标志,
志,4,C079,看懂安全标志,志愿者,
禁,4,C079,看懂安全标志,禁止,
止,4,C079,看懂安全标志,停止,
示,4,C079,看懂安全标志,提示,
全,4,C080,安全到家,安全,
保,4,C080,安全到家,保护,
守,4,C080,安全到家,遵守,
规,4,C080,安全到家,规则,
则,4,C080,安全到家,法则,
爷,5,C081,认识我的亲人,爷爷,
奶,5,C081,认识我的亲人,奶奶,
哥,5,C081,认识我的亲人,哥哥,
姐,5,C081,认识我的亲人,姐姐,
弟,5,C081,认识我的亲人,弟弟,
妹,5,C082,一家人团聚,妹妹,
叔,5,C082,一家人团聚,叔叔,
姨,5,C082,一家人团聚,阿姨,
伯,5,C082,一家人团聚,伯伯,
亲,5,C082,一家人团聚,亲人,
子,5,C083,一起长大的家人,孩子,
孩,5,C083,一起长大的家人,孩子,
儿,5,C083,一起长大的家人,儿童,
名,5,C083,一起长大的家人,名字,
字,5,C083,一起长大的家人,汉字,
房,5,C084,我家的房间,房间,
厅,5,C084,我家的房间,客厅,
厨,5,C084,我家的房间,厨房,
卧,5,C084,我家的房间,卧室,
墙,5,C084,我家的房间,墙壁,
电,5,C085,家里的电器,电灯,
视,5,C085,家里的电器,电视,
音,5,C085,家里的电器,声音,
扇,5,C085,家里的电器,风扇,风扇：shàn
响,5,C085,家里的电器,音响,
锅,5,C086,谁在厨房忙,锅子,
刀,5,C086,谁在厨房忙,小刀,
叉,5,C086,谁在厨房忙,叉子,
瓶,5,C086,谁在厨房忙,瓶子,
罐,5,C086,谁在厨房忙,罐子,
煮,5,C087,做一顿好吃的,煮饭,
炒,5,C087,做一顿好吃的,炒菜,
蒸,5,C087,做一顿好吃的,蒸蛋,
烤,5,C087,做一顿好吃的,烤饼,
切,5,C087,做一顿好吃的,切菜,
甜,5,C088,食物的味道,香甜,
酸,5,C088,食物的味道,酸味,
苦,5,C088,食物的味道,苦瓜,
辣,5,C088,食物的味道,辣椒,
咸,5,C088,食物的味道,咸味,
苹,5,C089,水果篮子,苹果,
梨,5,C089,水果篮子,梨子,
瓜,5,C089,水果篮子,西瓜,
枣,5,C089,水果篮子,红枣,
莓,5,C089,水果篮子,草莓,
香,5,C090,再尝一种水果,香蕉,
蕉,5,C090,再尝一种水果,香蕉,
葡,5,C090,再尝一种水果,葡萄,
萄,5,C090,再尝一种水果,葡萄,
橙,5,C090,再尝一种水果,橙子,
萝,5,C091,果园和菜园,萝卜,
卜,5,C091,果园和菜园,萝卜,
豆,5,C091,果园和菜园,豆子,
蔬,5,C091,果园和菜园,蔬菜,
橘,5,C091,果园和菜园,橘子,
茄,5,C092,厨房里的蔬菜,茄子,
椒,5,C092,厨房里的蔬菜,辣椒,
葱,5,C092,厨房里的蔬菜,葱花,
蒜,5,C092,厨房里的蔬菜,大蒜,
薯,5,C092,厨房里的蔬菜,红薯,
蛋,5,C093,早餐真丰富,鸡蛋,
肉,5,C093,早餐真丰富,肉包,
乳,5,C093,早餐真丰富,牛乳,
茶,5,C093,早餐真丰富,茶水,
汤,5,C093,早餐真丰富,菜汤,
饼,5,C094,面点和零食,饼干,
糕,5,C094,面点和零食,蛋糕,
糖,5,C094,面点和零食,糖果,
饺,5,C094,面点和零食,饺子,
粉,5,C094,面点和零食,米粉,
农,5,C095,食物从哪里来,农民,
田,5,C095,食物从哪里来,田地,
谷,5,C095,食物从哪里来,谷子,
麦,5,C095,食物从哪里来,小麦,
粮,5,C095,食物从哪里来,粮食,
饱,5,C096,珍惜每一口,吃饱,
饿,5,C096,珍惜每一口,饥饿,
渴,5,C096,珍惜每一口,口渴,
剩,5,C096,珍惜每一口,剩饭,
浪,5,C096,珍惜每一口,浪费,
扫,5,C097,周末做家务,扫地,
擦,5,C097,周末做家务,擦桌,
拖,5,C097,周末做家务,拖地,
整,5,C097,周末做家务,整齐,
理,5,C097,周末做家务,整理,
柜,5,C098,衣服放哪里,柜子,
架,5,C098,衣服放哪里,书架,
挂,5,C098,衣服放哪里,挂衣,
叠,5,C098,衣服放哪里,叠衣,
晒,5,C098,衣服放哪里,晒衣,
软,5,C099,让屋子更舒服,柔软,
硬,5,C099,让屋子更舒服,坚硬,
厚,5,C099,让屋子更舒服,厚衣,
薄,5,C099,让屋子更舒服,薄被,薄被：báo
轻,5,C099,让屋子更舒服,轻轻,
修,5,C100,小小修理员,修理,
补,5,C100,小小修理员,补好,
破,5,C100,小小修理员,破了,
坏,5,C100,小小修理员,坏了,
旧,5,C100,小小修理员,旧物,
年,6,C101,时间的名字,今年,
今,6,C101,时间的名字,今天,
明,6,C101,时间的名字,明天,
昨,6,C101,时间的名字,昨天,
时,6,C101,时间的名字,时间,
期,6,C102,看看日历,星期,
周,6,C102,看看日历,周末,
岁,6,C102,看看日历,五岁,
号,6,C102,看看日历,号码,
历,6,C102,看看日历,日历,
钟,6,C103,钟表滴答响,时钟,
表,6,C103,钟表滴答响,手表,
点,6,C103,钟表滴答响,几点,
分,6,C103,钟表滴答响,分钟,
秒,6,C103,钟表滴答响,秒针,
晨,6,C104,一天的安排,早晨,
夜,6,C104,一天的安排,夜晚,
半,6,C104,一天的安排,一半,
刻,6,C104,一天的安排,一刻,
久,6,C104,一天的安排,很久,
百,6,C105,数更多的东西,一百,
千,6,C105,数更多的东西,一千,
万,6,C105,数更多的东西,一万,
零,6,C105,数更多的东西,零个,
两,6,C105,数更多的东西,两个,
数,6,C106,数一数分一分,数数,数一数：shǔ；数量：shù
加,6,C106,数一数分一分,加上,
减,6,C106,数一数分一分,减少,
多,6,C106,数一数分一分,多少,
少,6,C106,数一数分一分,少了,多少／少了：shǎo
几,6,C107,买东西会比较,几个,
每,6,C107,买东西会比较,每天,
各,6,C107,买东西会比较,各自,
共,6,C107,买东西会比较,一共,
双,6,C107,买东西会比较,一双,
只,6,C108,一份还是一堆,一只,一只：zhī；只有：zhǐ 另随词示范
张,6,C108,一份还是一堆,一张,
条,6,C108,一份还是一堆,一条,
片,6,C108,一份还是一堆,一片,
块,6,C108,一份还是一堆,一块,
高,6,C109,大小和高矮,高树,
矮,6,C109,大小和高矮,矮树,
胖,6,C109,大小和高矮,胖熊,
瘦,6,C109,大小和高矮,瘦猴,
宽,6,C109,大小和高矮,宽路,
短,6,C110,长短和深浅,短绳,
深,6,C110,长短和深浅,深水,
浅,6,C110,长短和深浅,浅水,
重,6,C110,长短和深浅,重量,重量：zhòng；重复：chóng
低,6,C110,长短和深浅,低头,
圆,6,C111,认识形状,圆形,
方,6,C111,认识形状,方形,
正,6,C111,认识形状,正方形,
尖,6,C111,认识形状,尖角,
平,6,C111,认识形状,平面,
形,6,C112,拼图和积木,形状,
状,6,C112,拼图和积木,形状,
拼,6,C112,拼图和积木,拼图,
图,6,C112,拼图和积木,图画,
积,6,C112,拼图和积木,积木,
相,6,C113,找出不一样,相同,
异,6,C113,找出不一样,差异,
别,6,C113,找出不一样,别的,
样,6,C113,找出不一样,一样,
像,6,C113,找出不一样,好像,
第,6,C114,按顺序摆一摆,第一,
序,6,C114,按顺序摆一摆,次序,
首,6,C114,按顺序摆一摆,首先,
末,6,C114,按顺序摆一摆,末尾,
顺,6,C114,按顺序摆一摆,顺序,
比,6,C115,量一量比一比,比较,
量,6,C115,量一量比一比,测量,测量：liáng；重量：liàng
尺,6,C115,量一量比一比,尺子,
寸,6,C115,量一量比一比,尺寸,
称,6,C115,量一量比一比,称重,称重：chēng
满,6,C116,盒子里外找位置,装满,
内,6,C116,盒子里外找位置,盒内,
外,6,C116,盒子里外找位置,外面,
里,6,C116,盒子里外找位置,里面,
够,6,C116,盒子里外找位置,足够,
试,6,C117,做个小实验,试一试,
验,6,C117,做个小实验,实验,
观,6,C117,做个小实验,观察,
测,6,C117,做个小实验,测量,
变,6,C117,做个小实验,变化,
磁,6,C118,发现磁铁的秘密,磁铁,
吸,6,C118,发现磁铁的秘密,吸住,
引,6,C118,发现磁铁的秘密,吸引,
推,6,C118,发现磁铁的秘密,推开,
拉,6,C118,发现磁铁的秘密,拉手,
温,6,C119,水会变成什么,温度,
度,6,C119,水会变成什么,刻度,
升,6,C119,水会变成什么,上升,
降,6,C119,水会变成什么,下降,
化,6,C119,水会变成什么,变化,
节,6,C120,珍惜水和电,节约,
省,6,C120,珍惜水和电,节省,
费,6,C120,珍惜水和电,浪费,
源,6,C120,珍惜水和电,水源,
用,6,C120,珍惜水和电,使用,
故,7,C121,很久以前的故事,故事,
古,7,C121,很久以前的故事,古时候,
事,7,C121,很久以前的故事,故事,
从,7,C121,很久以前的故事,从前,
仙,7,C121,很久以前的故事,仙女,
屋,7,C122,森林里的小屋,小屋,
座,7,C122,森林里的小屋,一座,
住,7,C122,森林里的小屋,住下,
围,7,C122,森林里的小屋,围墙,
顶,7,C122,森林里的小屋,屋顶,
快,7,C123,快乐的生日,快乐,
乐,7,C123,快乐的生日,快乐,快乐：lè；音乐：yuè
笑,7,C123,快乐的生日,微笑,
喜,7,C123,快乐的生日,喜欢,
欢,7,C123,快乐的生日,欢迎,
哭,7,C124,不开心的时候,哭泣,
泪,7,C124,不开心的时候,眼泪,
伤,7,C124,不开心的时候,伤心,
难,7,C124,不开心的时候,难过,难过：nán
疼,7,C124,不开心的时候,心疼,
怕,7,C125,勇敢地试一试,害怕,
勇,7,C125,勇敢地试一试,勇敢,
敢,7,C125,勇敢地试一试,敢做,
胆,7,C125,勇敢地试一试,大胆,
尝,7,C125,勇敢地试一试,尝试,
着,7,C126,着急时慢慢说,着急,着急：zháo；沿着：zhe
慌,7,C126,着急时慢慢说,慌张,
惊,7,C126,着急时慢慢说,吃惊,
紧,7,C126,着急时慢慢说,紧张,
焦,7,C126,着急时慢慢说,焦急,
迷,7,C127,小兔迷路了,迷路,
失,7,C127,小兔迷路了,丢失,
寻,7,C127,小兔迷路了,寻找,
追,7,C127,小兔迷路了,追赶,
逃,7,C127,小兔迷路了,逃走,
因,7,C128,把理由讲清楚,因为,
为,7,C128,把理由讲清楚,因为,
所,7,C128,把理由讲清楚,所以,
以,7,C128,把理由讲清楚,所以,
且,7,C128,把理由讲清楚,而且,
想,7,C129,想个好办法,想法,
思,7,C129,想个好办法,思考,
办,7,C129,想个好办法,办法,
法,7,C129,想个好办法,方法,
主,7,C129,想个好办法,主意,
合,7,C130,大家来帮忙,合作,
作,7,C130,大家来帮忙,工作,
团,7,C130,大家来帮忙,团结,
结,7,C130,大家来帮忙,结果,结果／团结：jié
协,7,C130,大家来帮忙,协作,
礼,7,C131,谢谢你的礼物,礼物,
物,7,C131,谢谢你的礼物,物品,
送,7,C131,谢谢你的礼物,送给,
接,7,C131,谢谢你的礼物,接住,
受,7,C131,谢谢你的礼物,接受,
诚,7,C132,说清真实的事情,诚实,
实,7,C132,说清真实的事情,实话,
真,7,C132,说清真实的事情,真的,
假,7,C132,说清真实的事情,真假,真假：jiǎ
善,7,C132,说清真实的事情,善意,
错,7,C133,不小心做错了,做错,
改,7,C133,不小心做错了,改正,
认,7,C133,不小心做错了,承认,
歉,7,C133,不小心做错了,道歉,
原,7,C133,不小心做错了,原谅,
困,7,C134,遇到困难不放弃,困难,
坚,7,C134,遇到困难不放弃,坚持,
持,7,C134,遇到困难不放弃,保持,
努,7,C134,遇到困难不放弃,努力,
强,7,C134,遇到困难不放弃,强壮,强壮：qiáng；勉强：qiǎng
能,7,C135,每个人都有本领,能够,
会,7,C135,每个人都有本领,学会,
才,7,C135,每个人都有本领,才能,
聪,7,C135,每个人都有本领,聪明,
领,7,C135,每个人都有本领,本领,
然,7,C136,故事突然有变化,然后,
忽,7,C136,故事突然有变化,忽然,
突,7,C136,故事突然有变化,突然,
发,7,C136,故事突然有变化,发生,
曾,7,C136,故事突然有变化,曾经,
声,7,C137,故事里的声音,声音,
喊,7,C137,故事里的声音,喊话,
鸣,7,C137,故事里的声音,鸟鸣,
唱,7,C137,故事里的声音,唱歌,
奏,7,C137,故事里的声音,演奏,
爬,7,C138,故事里的动作,爬树,
钻,7,C138,故事里的动作,钻洞,钻洞：zuān
躲,7,C138,故事里的动作,躲雨,
藏,7,C138,故事里的动作,藏好,藏好：cáng
滚,7,C138,故事里的动作,滚动,
美,7,C139,故事里的样子,美丽,
丑,7,C139,故事里的样子,丑小鸭,
新,7,C139,故事里的样子,新衣,
奇,7,C139,故事里的样子,好奇,
